word,Best_Counter_Category
disprover,Antimatter
dispute,Logic
disquiet,Antimatter
disregard,Logic
disrespect,Logic
diss,Antimatter
dissent,Antimatter
disservice,Logic
dissolvent,Antimatter
dissyllable,Antimatter
distaff,Antimatter
distich,Antimatter
distiller,Antimatter
distrust,Logic
disyllable,Antimatter
ditch,Earthquake
dither,Antimatter
ditto,Antimatter
dive,Antimatter
divers,Antimatter
divorcement,Antimatter
divvy,Antimatter
dizziness,Logic
do,Antimatter
dobbin,Antimatter
dock,Antimatter
dockside,Antimatter
doctrinaire,Antimatter
document,Antimatter
dodder,Antimatter
doddle,Antimatter
dodge,Antimatter
doer,Logic
doggedness,Antimatter
dogmatism,Antimatter
doings,Antimatter
dole,Logic
dolly,Antimatter
dolphin,Logic
dolt,Antimatter
dominie,Antimatter
don,Logic
donation,Logic
dong,Antimatter
doodad,Antimatter
doodle,Logic
doom,Logic
dooms,Antimatter
doorstop,Earthquake
dose,Antimatter
doss,Antimatter
double,Antimatter
doubling,Antimatter
doubt,Logic
douche,Logic
dove,Logic
dovetail,Antimatter
down,Antimatter
downbeat,Antimatter
downgrade,Antimatter
downpour,Antimatter
downslope,Antimatter
doze,Antimatter
dozen,Antimatter
dozer,Antimatter
dubs,Antimatter
duck,Antimatter
dud,Antimatter
due,Antimatter
duff,Antimatter
duffer,Antimatter
dulse,Antimatter
dummy,Logic
dump,Antimatter
dun,Logic
dunderhead,Antimatter
dunk,Antimatter
dupe,Logic
dupery,Antimatter
duplicate,Antimatter
duplicator,Antimatter
durant,Antimatter
duster,Antimatter
dustpan,Antimatter
dweller,Antimatter
dwelling,Earthquake
dyer,Antimatter
dynamite,Antimatter
eagerness,Logic
earful,Antimatter
earliness,Antimatter
earmark,Antimatter
earner,Antimatter
earnest,Logic
earthling,Antimatter
earwig,Antimatter
ease,Logic
east,Antimatter
easterly,Antimatter
eatage,Antimatter
eater,Antimatter
ebb,Antimatter
ebullition,Antimatter
eccentric,Antimatter
ecclesiastic,Antimatter
echo,Antimatter
eclecticism,Antimatter
ecru,Antimatter
edacity,Antimatter
edge,Antimatter
edict,Logic
editorial,Antimatter
eeriness,Antimatter
effect,Antimatter
effectiveness,Antimatter
effects,Antimatter
effectuation,Antimatter
egalitarian,Gun
eggplant,Antimatter
egomania,Antimatter
egotist,Gun
egress,Antimatter
eighteenth,Antimatter
eighth,Antimatter
eightieth,Antimatter
el,Antimatter
elastic,Antimatter
elder,Logic
elective,Antimatter
electric,Logic
electrograph,Antimatter
electroplater,Antimatter
eleventh,Antimatter
elision,Antimatter
eloquence,Logic
elution,Antimatter
elytron,Antimatter
embrace,Logic
embroiderer,Antimatter
emcee,Antimatter
emetic,Antimatter
emollient,Antimatter
emotionalism,Antimatter
empyrean,Antimatter
enchanter,Antimatter
encore,Logic
encounter,Antimatter
encyclopedist,Gun
end,Antimatter
endeavor,Logic
ending,Antimatter
endogamy,Antimatter
enfeoffment,Antimatter
enfilade,Antimatter
engineer,Antimatter
enjoyer,Antimatter
enough,Antimatter
enragement,Antimatter
ensete,Antimatter
entrance,Antimatter
entreaty,Antimatter
enunciation,Antimatter
envelope,Antimatter
enviousness,Antimatter
envoy,Antimatter
epee,Antimatter
epenthesis,Antimatter
epic,Logic
epicene,Antimatter
epidemic,Logic
epileptic,Antimatter
equal,Antimatter
equalizer,Antimatter
equanimity,Antimatter
equestrian,Antimatter
equid,Antimatter
equine,Antimatter
equivalent,Antimatter
er,Antimatter
eraser,Antimatter
eristic,Antimatter
erythrocytolysin,Antimatter
erythronium,Antimatter
escape,Logic
escapism,Antimatter
escapist,Gun
escort,Logic
espalier,Antimatter
espial,Antimatter
ess,Antimatter
estimate,Antimatter
estimator,Antimatter
etude,Antimatter
eucalypt,Antimatter
eudaemonia,Antimatter
eulogy,Antimatter
euphoria,Antimatter
eurythmy,Antimatter
euthenics,Antimatter
evangel,Antimatter
evasiveness,Antimatter
eve,Antimatter
evenfall,Antimatter
evens,Antimatter
evensong,Antimatter
eventide,Antimatter
evidence,Antimatter
evolutionism,Antimatter
ex,Antimatter
exaggeration,Antimatter
exam,Antimatter
example,Antimatter
exasperation,Logic
excerpt,Antimatter
exchange,Logic
excise,Logic
excuse,Logic
excuser,Antimatter
executive,Antimatter
exegete,Antimatter
exercise,Antimatter
exerciser,Antimatter
exes,Sword
exhaust,Logic
exhibit,Antimatter
exhortation,Logic
exit,Earthquake
exogamy,Antimatter
exomphalos,Antimatter
exorciser,Antimatter
exorcism,Logic
expatriate,Logic
expatriation,Antimatter
expedient,Logic
expender,Antimatter
experience,Antimatter
experimenter,Antimatter
expert,Logic
exploit,Antimatter
explosive,Logic
expostulation,Antimatter
exterior,Antimatter
extern,Antimatter
extinguisher,Antimatter
extortionist,Gun
extra,Logic
extract,Antimatter
extreme,Antimatter
eyeball,Antimatter
eyewash,Antimatter
face,Antimatter
facetiousness,Antimatter
facial,Antimatter
facing,Antimatter
factotum,Antimatter
fade,Logic
fae,Antimatter
failing,Logic
faint,Antimatter
faithfulness,Antimatter
fake,Logic
fall,Logic
fallacy,Logic
fallback,Antimatter
falsification,Logic
familiar,Logic
fanaticism,Logic
fancier,Antimatter
fancy,Logic
fantasy,Antimatter
fare,Antimatter
farewell,Antimatter
farm,Logic
farness,Antimatter
farrow,Earthquake
fasces,Antimatter
fashion,Antimatter
fat,Logic
fathom,Antimatter
fatness,Antimatter
fatty,Logic
faultfinder,Antimatter
favor,Antimatter
favorite,Logic
fawn,Logic
fear,Logic
fearfulness,Antimatter
fearlessness,Antimatter
featherbed,Antimatter
featheredge,Antimatter
feature,Logic
feed,Antimatter
feel,Antimatter
feeling,Logic
feint,Antimatter
feline,Antimatter
fell,Logic
feller,Antimatter
fellow,Logic
female,Antimatter
feminine,Antimatter
fence,Earthquake
ferment,Logic
ferociousness,Antimatter
ferret,Antimatter
ferroconcrete,Earthquake
ferry,Antimatter
ferule,Antimatter
festoon,Antimatter
fetch,Antimatter
fetter,Antimatter
feudatory,Antimatter
fib,Logic
fibber,Antimatter
fibrinolysin,Antimatter
fiddle,Antimatter
fiddlestick,Antimatter
fidget,Antimatter
field,Earthquake
fieldsman,Antimatter
fierceness,Antimatter
fifteenth,Antimatter
fiftieth,Antimatter
fight,Logic
fighter,Antimatter
figure,Antimatter
figurehead,Antimatter
file,Antimatter
fill,Logic
fillip,Antimatter
film,Antimatter
filter,Antimatter
final,Antimatter
finalist,Gun
financier,Antimatter
find,Antimatter
finder,Antimatter
fine,Antimatter
finesse,Logic
finish,Antimatter
finishing,Antimatter
fink,Antimatter
fire,Logic
firedamp,Earthquake
fireman,Logic
firewater,Antimatter
firewood,Flame
firm,Earthquake
first,Antimatter
fish,Disease
fishmonger,Antimatter
fistful,Antimatter
fit,Antimatter
fitch,Antimatter
fitter,Antimatter
fitting,Logic
fix,Antimatter
fixing,Antimatter
fizz,Antimatter
fizzle,Antimatter
flack,Antimatter
flag,Antimatter
flagon,Antimatter
flail,Antimatter
flake,Logic
flame,Antimatter
flammability,Antimatter
flank,Antimatter
flap,Logic
flare,Antimatter
flash,Antimatter
flat,Antimatter
flatiron,Antimatter
flaw,Logic
fledgling,Antimatter
fleece,Logic
fleer,Antimatter
fleet,Logic
flex,Antimatter
flick,Antimatter
flicker,Antimatter
flimflam,Antimatter
flinch,Logic
fling,Antimatter
flint,Antimatter
flip,Antimatter
flirt,Logic
flit,Antimatter
float,Antimatter
flock,Antimatter
floor,Antimatter
flop,Logic
flounce,Antimatter
flounder,Logic
flourish,Antimatter
flouter,Antimatter
flow,Logic
flowerpot,Antimatter
flub,Antimatter
fluff,Antimatter
fluffiness,Antimatter
fluid,Antimatter
fluke,Logic
flummery,Antimatter
fluosilicate,Antimatter
flurry,Antimatter
flush,Logic
fluster,Antimatter
flute,Antimatter
flutist,Gun
flutter,Antimatter
fly,Antimatter
flying,Logic
flypaper,Antimatter
flyspeck,Antimatter
flytrap,Antimatter
foam,Antimatter
fob,Antimatter
focus,Logic
foe,Logic
foeman,Antimatter
fogy,Antimatter
foil,Antimatter
fold,Antimatter
following,Antimatter
fondling,Antimatter
fondue,Antimatter
fool,Logic
footballer,Antimatter
footpad,Antimatter
footrest,Antimatter
fop,Antimatter
forage,Logic
foray,Logic
forbearance,Logic
force,Logic
forcefulness,Antimatter
ford,Antimatter
forebear,Antimatter
forecast,Logic
forerunner,Logic
foresight,Logic
forester,Gun
foretoken,Antimatter
forewarning,Antimatter
forfeit,Logic
forfeits,Antimatter
forge,Logic
fork,Antimatter
form,Antimatter
format,Antimatter
forte,Logic
fortieth,Antimatter
fortitude,Logic
forward,Logic
foul,Logic
founder,Antimatter
founding,Antimatter
fount,Antimatter
foursquare,Antimatter
fourteenth,Antimatter
fourth,Antimatter
fragment,Antimatter
frailness,Antimatter
frame,Antimatter
fratricide,Antimatter
fray,Logic
frazzle,Antimatter
freak,Antimatter
freewheel,Antimatter
frequence,Antimatter
frequentative,Antimatter
frequenter,Antimatter
fret,Logic
friary,Antimatter
friend,Logic
friendliness,Logic
friendship,Logic
frier,Antimatter
frieze,Antimatter
fright,Logic
frill,Antimatter
fringe,Antimatter
frisk,Antimatter
friskiness,Antimatter
fritter,Antimatter
frizz,Antimatter
frog,Disease
frolic,Logic
front,Antimatter
frost,Antimatter
froth,Logic
frothiness,Antimatter
fruiterer,Antimatter
frump,Antimatter
fry,Antimatter
fuddle,Antimatter
fudge,Logic
fugitive,Logic
fugleman,Antimatter
fuller,Antimatter
fumble,Logic
fume,Logic
fumigator,Antimatter
fund,Antimatter
fundamental,Logic
funk,Logic
funnel,Antimatter
furrow,Logic
fuse,Logic
fuss,Logic
gab,Antimatter
gabble,Antimatter
gag,Logic
gage,Logic
gain,Logic
gains,Antimatter
gall,Logic
gallant,Logic
gallop,Antimatter
galluses,Antimatter
galoot,Antimatter
gamble,Logic
gamboge,Antimatter
game,Antimatter
gander,Antimatter
gang,Logic
gangway,Antimatter
gaoler,Antimatter
gape,Logic
garb,Antimatter
garboil,Antimatter
gargle,Antimatter
garland,Antimatter
garnish,Logic
garroter,Antimatter
gasbag,Antimatter
gasconade,Antimatter
gash,Logic
gaslight,Antimatter
gasp,Logic
gate,Logic
gather,Antimatter
gathering,Antimatter
gaud,Antimatter
gauge,Antimatter
gawk,Logic
gaze,Antimatter
gazette,Logic
gel,Antimatter
geminate,Antimatter
gemination,Antimatter
general,Logic
genitive,Antimatter
geographer,Antimatter
german,Antimatter
germanite,Antimatter
gerontocracy,Antimatter
gerund,Antimatter
getaway,Antimatter
getup,Antimatter
giant,Logic
giantess,Antimatter
gibe,Antimatter
giggle,Logic
gilt,Antimatter
gimcrack,Antimatter
gimlet,Antimatter
gimp,Antimatter
girdle,Antimatter
giveaway,Antimatter
given,Antimatter
giver,Antimatter
glade,Antimatter
gladfulness,Antimatter
gladness,Logic
gladsomeness,Antimatter
glance,Antimatter
glare,Logic
glassful,Antimatter
glaze,Antimatter
gleam,Antimatter
glee,Logic
glide,Logic
glimmer,Logic
glimmering,Antimatter
glimpse,Antimatter
glint,Antimatter
glister,Antimatter
glitter,Logic
glop,Antimatter
glory,Logic
gloss,Logic
glossiness,Antimatter
glow,Logic
glower,Antimatter
glue,Antimatter
glumness,Antimatter
glut,Logic
gluttony,Logic
gnarl,Antimatter
gnawer,Antimatter
goad,Antimatter
goalie,Antimatter
goatherd,Antimatter
gobbet,Antimatter
goer,Antimatter
goffer,Antimatter
gold,Logic
goldbrick,Antimatter
goldsmith,Antimatter
good,Logic
goof,Antimatter
goose,Antimatter
gore,Logic
gorge,Logic
gosmore,Antimatter
gossip,Logic
gossiper,Antimatter
gouge,Logic
gouger,Antimatter
governorship,Antimatter
grab,Logic
gracility,Antimatter
graciousness,Antimatter
graduate,Antimatter
granddad,Antimatter
grandstand,Antimatter
graphic,Antimatter
grapple,Antimatter
grasp,Antimatter
grate,Logic
gratefulness,Antimatter
grating,Logic
gratitude,Logic
grave,Logic
graver,Antimatter
gray,Logic
graze,Antimatter
grease,Antimatter
greediness,Antimatter
green,Logic
greisen,Antimatter
grey,Antimatter
grief,Logic
grill,Antimatter
grin,Logic
grind,Antimatter
grip,Antimatter
gripe,Antimatter
griping,Antimatter
grizzly,Logic
groan,Logic
grocer,Antimatter
grogram,Antimatter
groom,Antimatter
groove,Antimatter
groover,Antimatter
gross,Logic
grot,Antimatter
grotesque,Logic
grouch,Antimatter
ground,Logic
grounder,Antimatter
groundsel,Antimatter
group,Antimatter
grouse,Antimatter
grove,Antimatter
growing,Antimatter
growl,Logic
grownup,Antimatter
growth,Logic
grub,Antimatter
grubbiness,Antimatter
grubs,Antimatter
grubstake,Earthquake
grumble,Logic
grumbling,Antimatter
grump,Antimatter
grumpiness,Antimatter
grunt,Antimatter
guarantee,Logic
guaranty,Antimatter
guard,Logic
guardian,Logic
guardianship,Logic
gudgeon,Antimatter
guerdon,Antimatter
guess,Logic
guesser,Antimatter
guff,Antimatter
guffaw,Antimatter
guide,Logic
guidebook,Logic
gull,Logic
gulp,Logic
gumshoe,Antimatter
gunk,Antimatter
gunnel,Antimatter
gurgle,Antimatter
gush,Logic
gust,Antimatter
gut,Logic
gutter,Logic
guzzler,Antimatter
gym,Earthquake
gymnosophy,Antimatter
gyneolatry,Antimatter
hackle,Antimatter
hackney,Antimatter
haft,Antimatter
hail,Logic
hairline,Antimatter
halcyon,Antimatter
half,Antimatter
halibut,Antimatter
halt,Antimatter
halter,Logic
hammer,Antimatter
hamper,Logic
hamstring,Logic
hand,Antimatter
handbill,Antimatter
handcraft,Antimatter
handhold,Antimatter
handle,Antimatter
hanging,Logic
hanky,Antimatter
hap,Logic
happening,Antimatter
happiness,Logic
harangue,Antimatter
harbinger,Logic
harbor,Logic
harbour,Earthquake
harebell,Earthquake
harm,Logic
harmonizer,Antimatter
harness,Antimatter
harpooner,Disease
harrow,Antimatter
hassle,Antimatter
hassock,Antimatter
hastings,Antimatter
hatch,Antimatter
hate,Logic
hatefulness,Antimatter
hater,Disease
hatful,Antimatter
haul,Antimatter
haunt,Logic
haversack,Antimatter
haw,Antimatter
hawk,Logic
hawse,Antimatter
haywire,Antimatter
hazard,Logic
haze,Logic
hazel,Antimatter
haziness,Antimatter
he,Disease
headful,Antimatter
headshake,Antimatter
heap,Disease
heaps,Disease
hearsay,Logic
heartbreaker,Disease
heartsickness,Disease
heave,Antimatter
hedge,Antimatter
heed,Antimatter
heedfulness,Antimatter
heedlessness,Antimatter
heft,Logic
heinousness,Antimatter
heliogram,Antimatter
heliolatry,Antimatter
heliotropism,Antimatter
hellhole,Antimatter
hellion,Antimatter
helm,Antimatter
help,Antimatter
helper,Logic
helpfulness,Antimatter
helping,Antimatter
helplessness,Logic
helpmate,Antimatter
helpmeet,Antimatter
hem,Antimatter
hemolysin,Antimatter
hemophiliac,Antimatter
hemstitch,Antimatter
henbane,Antimatter
hendiadys,Antimatter
hepatoma,Disease
herald,Disease
herd,Antimatter
herder,Antimatter
hereditarianism,Antimatter
hesitance,Antimatter
hesitancy,Antimatter
heterometaboly,Antimatter
heteronym,Antimatter
hex,Antimatter
hibernation,Antimatter
hiddenite,Antimatter
hide,Logic
hieroglyphic,Antimatter
highlight,Antimatter
highness,Antimatter
hijack,Antimatter
hike,Antimatter
hilliness,Antimatter
hillock,Antimatter
hind,Antimatter
hindsight,Antimatter
hinge,Antimatter
hint,Antimatter
hip,Antimatter
hire,Logic
hiss,Logic
hissing,Logic
historiographer,Disease
history,Antimatter
histrion,Disease
hit,Logic
hitch,Antimatter
hive,Logic
hoard,Antimatter
hoaxer,Disease
hobble,Antimatter
hodgepodge,Antimatter
hoe,Disease
hog,Logic
hogwash,Antimatter
hoist,Gun
hold,Antimatter
holdall,Antimatter
holdfast,Antimatter
holding,Antimatter
holdover,Antimatter
holdup,Antimatter
holler,Antimatter
hollow,Logic
holster,Disease
homebody,Antimatter
homesickness,Antimatter
homework,Logic
homonym,Antimatter
homophone,Antimatter
homopteran,Antimatter
homosexual,Disease
honeysuckle,Disease
honk,Antimatter
honor,Logic
honorific,Antimatter
hoodoo,Antimatter
hook,Antimatter
hoot,Logic
hop,Antimatter
hope,Logic
hopefulness,Antimatter
hopper,Disease
horde,Logic
horehound,Disease
horn,Antimatter
horridness,Antimatter
horseshoer,Disease
horsewhip,Antimatter
hose,Antimatter
host,Disease
hostility,Logic
hotfoot,Antimatter
hound,Antimatter
housebreaker,Antimatter
houseful,Antimatter
housemaid,Antimatter
huddle,Antimatter
huff,Logic
huffiness,Antimatter
hug,Logic
hulk,Logic
hullabaloo,Antimatter
hum,Antimatter
humbug,Logic
humdinger,Antimatter
hump,Antimatter
humpback,Antimatter
hunch,Logic
hunk,Antimatter
hunks,Antimatter
hunt,Antimatter
hurdle,Antimatter
hurdler,Antimatter
hurry,Logic
hurt,Logic
husband,Antimatter
hush,Logic
husk,Antimatter
hussy,Antimatter
hypallage,Antimatter
hypnotic,Antimatter
hypocorism,Antimatter
hypodermic,Antimatter
hypostasis,Antimatter
hypsography,Antimatter
hyssop,Antimatter
iconoclasm,Antimatter
ideal,Antimatter
identifier,Antimatter
idiot,Logic
ignoramus,Antimatter
ilk,Antimatter
ill,Logic
illiterate,Logic
image,Antimatter
immortal,Logic
imp,Antimatter
impact,Antimatter
impairer,Antimatter
impendency,Antimatter
imperative,Antimatter
impermeability,Antimatter
impishness,Antimatter
implant,Antimatter
implausibleness,Antimatter
implement,Antimatter
import,Antimatter
impossibleness,Antimatter
impost,Antimatter
imprecation,Antimatter
impress,Logic
imprint,Antimatter
impromptu,Antimatter
improvement,Logic
improver,Antimatter
impulse,Antimatter
incautiousness,Antimatter
incendiarism,Antimatter
incendiary,Logic
incense,Logic
incertitude,Antimatter
inch,Antimatter
incipience,Antimatter
inciter,Antimatter
incline,Logic
inconvenience,Antimatter
increase,Logic
incredulity,Antimatter
indecisiveness,Antimatter
indent,Logic
indicator,Antimatter
indices,Antimatter
indiction,Antimatter
indifference,Logic
indignation,Logic
individual,Disease
indument,Antimatter
indumentum,Antimatter
inebriate,Antimatter
inertia,Antimatter
infatuation,Antimatter
inferior,Logic
infinitive,Antimatter
influence,Logic
ingratiation,Antimatter
ingratitude,Antimatter
inheritrix,Antimatter
inhibitor,Antimatter
initial,Antimatter
initiate,Antimatter
inkstand,Antimatter
inpour,Antimatter
input,Antimatter
insecticide,Antimatter
insectivore,Antimatter
insecurity,Logic
insert,Antimatter
inset,Antimatter
inside,Antimatter
instant,Antimatter
instigant,Antimatter
institute,Logic
instruction,Logic
insult,Logic
insurgent,Logic
intake,Antimatter
intellectual,Logic
intent,Antimatter
intercept,Antimatter
intercessor,Antimatter
interchange,Antimatter
interdict,Antimatter
interestingness,Antimatter
interim,Logic
interior,Logic
interleaf,Antimatter
interlock,Antimatter
intermediate,Antimatter
intern,Antimatter
intransitivity,Antimatter
intravasation,Antimatter
intrigue,Logic
inventiveness,Antimatter
inverse,Antimatter
invite,Logic
io,Antimatter
irascibility,Antimatter
ire,Logic
iridescence,Antimatter
iron,Logic
irreverence,Antimatter
island,Antimatter
isle,Antimatter
issue,Antimatter
issuing,Antimatter
it,Antimatter
itch,Antimatter
itchiness,Antimatter
itinerant,Antimatter
its,Antimatter
ivy,Antimatter
jab,Logic
jabber,Logic
jackanapes,Antimatter
jackknife,Antimatter
jade,Antimatter
jag,Antimatter
jailbird,Antimatter
jailhouse,Antimatter
jakes,Antimatter
jangle,Antimatter
jape,Antimatter
jar,Antimatter
jarful,Antimatter
jaunt,Antimatter
jawbreaker,Antimatter
jay,Antimatter
jeer,Antimatter
jeerer,Antimatter
jemmy,Antimatter
jeopardy,Logic
jeremiad,Antimatter
jerk,Logic
jerky,Antimatter
jest,Logic
jet,Antimatter
jibe,Antimatter
jiffy,Antimatter
jig,Antimatter
jingle,Antimatter
jingoism,Antimatter
jinks,Antimatter
jinx,Antimatter
jive,Antimatter
jockey,Antimatter
jocundity,Antimatter
jog,Antimatter
joggle,Antimatter
join,Logic
joke,Logic
jolliness,Antimatter
jolt,Logic
joss,Antimatter
jot,Antimatter
jotter,Antimatter
jounce,Antimatter
joust,Antimatter
joyousness,Antimatter
jug,Antimatter
jumble,Logic
jump,Logic
junk,Logic
junket,Antimatter
jut,Antimatter
juvenal,Antimatter
juvenile,Logic
juvenility,Antimatter
kail,Antimatter
kaleidoscope,Antimatter
kapok,Antimatter
keep,Antimatter
keeping,Antimatter
keepsake,Logic
kelter,Antimatter
kennel,Logic
kennelly,Antimatter
kenning,Antimatter
kerygma,Antimatter
kettle,Antimatter
kettleful,Antimatter
key,Antimatter
keyhole,Antimatter
keynote,Logic
kick,Logic
killer,Antimatter
kind,Logic
kindergarten,Antimatter
kindergartener,Antimatter
kindliness,Antimatter
kink,Antimatter
kip,Antimatter
kipper,Antimatter
kirk,Antimatter
kiss,Logic
kitchener,Antimatter
kite,Logic
klaxon,Antimatter
kneeler,Antimatter
knell,Logic
knife,Antimatter
knitter,Antimatter
knock,Antimatter
knockabout,Antimatter
knockdown,Antimatter
knocker,Antimatter
knoll,Antimatter
knot,Antimatter
knothole,Antimatter
knower,Antimatter
knowing,Logic
krypton,Antimatter
kudos,Logic
label,Logic
labour,Antimatter
lac,Antimatter
lace,Logic
lacer,Antimatter
lack,Logic
lacquer,Antimatter
lactate,Antimatter
lad,Antimatter
laddie,Antimatter
ladylove,Antimatter
ladyship,Antimatter
lag,Logic
laggard,Antimatter
lakeside,Antimatter
lallation,Antimatter
lam,Antimatter
lamasery,Antimatter
lambdacism,Antimatter
lambkin,Antimatter
lame,Antimatter
lament,Logic
laminate,Antimatter
lampoon,Antimatter
lances,Antimatter
land,Logic
landlubber,Antimatter
laney,Antimatter
languor,Antimatter
lap,Antimatter
lapful,Antimatter
lapidary,Antimatter
lapidation,Antimatter
lapse,Logic
larceny,Logic
larder,Antimatter
lark,Antimatter
las,Antimatter
lasciviousness,Antimatter
lash,Logic
lass,Antimatter
lassie,Antimatter
last,Antimatter
latch,Antimatter
lateral,Antimatter
lather,Antimatter
latrobe,Antimatter
laudableness,Antimatter
laugh,Logic
laughter,Logic
launch,Logic
laver,Antimatter
lawbreaker,Antimatter
lawfulness,Antimatter
lawmaker,Antimatter
layer,Antimatter
laziness,Antimatter
lazybones,Antimatter
leak,Logic
leaner,Antimatter
leaning,Logic
leap,Antimatter
leapfrog,Antimatter
learner,Antimatter
lease,Antimatter
leash,Antimatter
least,Antimatter
leave,Logic
leaven,Antimatter
leaves,Antimatter
lech,Antimatter
lechery,Antimatter
lecture,Antimatter
leech,Logic
leer,Logic
leeward,Antimatter
leftist,Gun
leftover,Antimatter
legalism,Antimatter
legging,Antimatter
legislator,Logic
lenitive,Antimatter
lepidopteran,Antimatter
let,Antimatter
letdown,Antimatter
lettuce,Antimatter
leucotomy,Antimatter
levant,Antimatter
level,Logic
lever,Antimatter
leverage,Logic
levy,Logic
liar,Logic
liberation,Logic
libertine,Antimatter
liberty,Logic
library,Logic
license,Antimatter
lick,Logic
lie,Logic
liege,Antimatter
lieu,Antimatter
lifelessness,Antimatter
lifesaving,Antimatter
lift,Antimatter
liftman,Antimatter
light,Antimatter
lighter,Antimatter
lightheadedness,Antimatter
lightheartedness,Antimatter
like,Antimatter
lilt,Antimatter
limber,Antimatter
limbers,Antimatter
limeade,Antimatter
limen,Antimatter
limit,Antimatter
limp,Logic
limper,Antimatter
line,Antimatter
linen,Antimatter
link,Antimatter
links,Antimatter
liquid,Antimatter
lis,Antimatter
lisp,Antimatter
lisper,Antimatter
listlessness,Antimatter
litigant,Logic
litter,Logic
little,Antimatter
littleness,Antimatter
living,Antimatter
load,Antimatter
loaf,Logic
loathing,Logic
lob,Antimatter
lobby,Antimatter
loch,Antimatter
lock,Antimatter
locomotion,Antimatter
locomotive,Antimatter
locum,Antimatter
lodge,Antimatter
loft,Antimatter
log,Flame
logicalness,Antimatter
logwood,Antimatter
loneliness,Logic
lonesomeness,Antimatter
longing,Logic
look,Antimatter
looker,Antimatter
lookout,Antimatter
loom,Logic
looney,Antimatter
loony,Logic
loop,Antimatter
loot,Logic
lot,Antimatter
lota,Antimatter
lots,Antimatter
loudness,Logic
lounge,Logic
lousiness,Antimatter
lout,Antimatter
louver,Antimatter
love,Logic
low,Antimatter
lowan,Antimatter
lox,Antimatter
loyalty,Logic
lubber,Antimatter
luckiness,Antimatter
lucy,Antimatter
lues,Antimatter
luff,Antimatter
lull,Logic
lulu,Antimatter
lumber,Flame
lumberyard,Antimatter
lummox,Antimatter
lump,Logic
lunge,Logic
lunkhead,Antimatter
lupine,Antimatter
lurch,Logic
lure,Logic
lustra,Antimatter
lycoperdon,Antimatter
lyric,Antimatter
macer,Antimatter
mack,Antimatter
macron,Antimatter
madam,Antimatter
madcap,Antimatter
madder,Antimatter
madwort,Antimatter
magic,Antimatter
magnifier,Antimatter
maiden,Logic
mail,Logic
mailbox,Antimatter
main,Logic
maintainer,Antimatter
majuscule,Antimatter
maker,Antimatter
makeshift,Logic
malady,Logic
male,Antimatter
maleness,Antimatter
malfeasant,Antimatter
malfunction,Antimatter
maliciousness,Antimatter
malleability,Antimatter
mammoth,Antimatter
man,Antimatter
manacle,Antimatter
mandamus,Logic
mandate,Antimatter
maness,Antimatter
maneuver,Antimatter
mangle,Logic
